A,B,C,D,E
"(15.379, 17.373]","(17.214, 19.168]","(22.941, 25.04]","(79.073, 86.937]","(309.466, 335.097]"
"(23.354, 25.348]","(17.214, 19.168]","(10.347, 12.446]","(86.937, 94.802]","(309.466, 335.097]"
"(27.342, 29.336]","(17.214, 19.168]","(18.743, 20.842]","(94.802, 102.667]","(360.728, 386.358]"
"(21.361, 23.354]","(19.168, 21.121]","(18.743, 20.842]","(102.667, 110.531]","(360.728, 386.358]"
"(11.392, 13.386]","(21.121, 23.075]","(16.644, 18.743]","(79.073, 86.937]","(309.466, 335.097]"
"(25.348, 27.342]","(19.168, 21.121]","(8.248, 10.347]","(110.531, 118.396]","(360.728, 386.358]"
"(17.373, 19.367]","(26.982, 28.935]","(-0.148, 1.951]","(118.396, 126.261]","(335.097, 360.728]"
"(7.404, 9.398]","(17.214, 19.168]","(18.743, 20.842]","(63.343, 71.208]","(258.205, 283.835]"
"(23.354, 25.348]","(23.075, 25.028]","(16.644, 18.743]","(118.396, 126.261]","(411.989, 437.62]"
"(15.379, 17.373]","(17.214, 19.168]","(12.446, 14.545]","(86.937, 94.802]","(283.835, 309.466]"
"(23.354, 25.348]","(34.795, 36.749]","(18.743, 20.842]","(165.585, 173.449]","(540.143, 565.774]"
"(19.367, 21.361]","(23.075, 25.028]","(6.149, 8.248]","(102.667, 110.531]","(309.466, 335.097]"
"(17.373, 19.367]","(23.075, 25.028]","(10.347, 12.446]","(102.667, 110.531]","(360.728, 386.358]"
"(21.361, 23.354]","(13.307, 15.261]","(10.347, 12.446]","(86.937, 94.802]","(283.835, 309.466]"
"(21.361, 23.354]","(13.307, 15.261]","(16.644, 18.743]","(86.937, 94.802]","(309.466, 335.097]"
"(9.398, 11.392]","(30.888, 32.842]","(16.644, 18.743]","(110.531, 118.396]","(386.358, 411.989]"
"(21.361, 23.354]","(32.842, 34.795]","(8.248, 10.347]","(149.855, 157.72]","(463.251, 488.881]"
"(21.361, 23.354]","(15.261, 17.214]","(6.149, 8.248]","(79.073, 86.937]","(258.205, 283.835]"
"(25.348, 27.342]","(26.982, 28.935]","(22.941, 25.04]","(134.126, 141.99]","(463.251, 488.881]"
"(19.367, 21.361]","(19.168, 21.121]","(12.446, 14.545]","(94.802, 102.667]","(309.466, 335.097]"
"(11.392, 13.386]","(23.075, 25.028]","(4.05, 6.149]","(86.937, 94.802]","(283.835, 309.466]"
"(23.354, 25.348]","(26.982, 28.935]","(10.347, 12.446]","(126.261, 134.126]","(411.989, 437.62]"
"(19.367, 21.361]","(13.307, 15.261]","(14.545, 16.644]","(86.937, 94.802]","(283.835, 309.466]"
"(35.317, 37.311]","(30.888, 32.842]","(16.644, 18.743]","(165.585, 173.449]","(565.774, 591.404]"
"(17.373, 19.367]","(19.168, 21.121]","(14.545, 16.644]","(94.802, 102.667]","(335.097, 360.728]"
"(13.386, 15.379]","(21.121, 23.075]","(10.347, 12.446]","(94.802, 102.667]","(309.466, 335.097]"
"(21.361, 23.354]","(13.307, 15.261]","(18.743, 20.842]","(86.937, 94.802]","(335.097, 360.728]"
"(27.342, 29.336]","(17.214, 19.168]","(20.842, 22.941]","(118.396, 126.261]","(411.989, 437.62]"
"(23.354, 25.348]","(30.888, 32.842]","(20.842, 22.941]","(141.99, 149.855]","(488.881, 514.512]"
"(21.361, 23.354]","(26.982, 28.935]","(14.545, 16.644]","(118.396, 126.261]","(386.358, 411.989]"
"(35.317, 37.311]","(17.214, 19.168]","(18.743, 20.842]","(126.261, 134.126]","(437.62, 463.251]"
"(15.379, 17.373]","(26.982, 28.935]","(4.05, 6.149]","(102.667, 110.531]","(335.097, 360.728]"
"(11.392, 13.386]","(23.075, 25.028]","(16.644, 18.743]","(86.937, 94.802]","(309.466, 335.097]"
"(9.398, 11.392]","(26.982, 28.935]","(12.446, 14.545]","(102.667, 110.531]","(360.728, 386.358]"
"(13.386, 15.379]","(19.168, 21.121]","(20.842, 22.941]","(86.937, 94.802]","(335.097, 360.728]"
"(13.386, 15.379]","(11.354, 13.307]","(18.743, 20.842]","(63.343, 71.208]","(258.205, 283.835]"
"(21.361, 23.354]","(30.888, 32.842]","(14.545, 16.644]","(126.261, 134.126]","(437.62, 463.251]"
"(21.361, 23.354]","(19.168, 21.121]","(18.743, 20.842]","(110.531, 118.396]","(386.358, 411.989]"
"(9.398, 11.392]","(23.075, 25.028]","(6.149, 8.248]","(86.937, 94.802]","(283.835, 309.466]"
"(19.367, 21.361]","(19.168, 21.121]","(18.743, 20.842]","(102.667, 110.531]","(386.358, 411.989]"
"(21.361, 23.354]","(30.888, 32.842]","(14.545, 16.644]","(134.126, 141.99]","(437.62, 463.251]"
"(19.367, 21.361]","(17.214, 19.168]","(10.347, 12.446]","(94.802, 102.667]","(309.466, 335.097]"
"(21.361, 23.354]","(17.214, 19.168]","(10.347, 12.446]","(102.667, 110.531]","(335.097, 360.728]"
"(31.329, 33.323]","(25.028, 26.982]","(16.644, 18.743]","(149.855, 157.72]","(488.881, 514.512]"
"(17.373, 19.367]","(19.168, 21.121]","(-0.148, 1.951]","(102.667, 110.531]","(283.835, 309.466]"
"(11.392, 13.386]","(13.307, 15.261]","(-0.148, 1.951]","(71.208, 79.073]","(206.943, 232.574]"
"(27.342, 29.336]","(15.261, 17.214]","(31.337, 33.436]","(102.667, 110.531]","(386.358, 411.989]"
"(25.348, 27.342]","(25.028, 26.982]","(12.446, 14.545]","(134.126, 141.99]","(437.62, 463.251]"
"(25.348, 27.342]","(23.075, 25.028]","(12.446, 14.545]","(126.261, 134.126]","(411.989, 437.62]"
"(17.373, 19.367]","(19.168, 21.121]","(12.446, 14.545]","(94.802, 102.667]","(335.097, 360.728]"
"(15.379, 17.373]","(19.168, 21.121]","(1.951, 4.05]","(86.937, 94.802]","(258.205, 283.835]"
"(19.367, 21.361]","(13.307, 15.261]","(18.743, 20.842]","(86.937, 94.802]","(309.466, 335.097]"
"(21.361, 23.354]","(13.307, 15.261]","(14.545, 16.644]","(94.802, 102.667]","(309.466, 335.097]"
"(25.348, 27.342]","(26.982, 28.935]","(10.347, 12.446]","(134.126, 141.99]","(437.62, 463.251]"
"(21.361, 23.354]","(19.168, 21.121]","(25.04, 27.139]","(102.667, 110.531]","(386.358, 411.989]"
"(15.379, 17.373]","(11.354, 13.307]","(27.139, 29.238]","(71.208, 79.073]","(309.466, 335.097]"
"(13.386, 15.379]","(19.168, 21.121]","(16.644, 18.743]","(86.937, 94.802]","(309.466, 335.097]"
"(11.392, 13.386]","(23.075, 25.028]","(14.545, 16.644]","(94.802, 102.667]","(335.097, 360.728]"
"(27.342, 29.336]","(21.121, 23.075]","(10.347, 12.446]","(118.396, 126.261]","(386.358, 411.989]"
"(23.354, 25.348]","(25.028, 26.982]","(8.248, 10.347]","(126.261, 134.126]","(386.358, 411.989]"
"(25.348, 27.342]","(19.168, 21.121]","(10.347, 12.446]","(118.396, 126.261]","(386.358, 411.989]"
"(19.367, 21.361]","(7.447, 9.4]","(20.842, 22.941]","(63.343, 71.208]","(258.205, 283.835]"
"(17.373, 19.367]","(11.354, 13.307]","(8.248, 10.347]","(71.208, 79.073]","(232.574, 258.205]"
"(13.386, 15.379]","(21.121, 23.075]","(18.743, 20.842]","(86.937, 94.802]","(335.097, 360.728]"
"(11.392, 13.386]","(17.214, 19.168]","(12.446, 14.545]","(79.073, 86.937]","(258.205, 283.835]"
"(23.354, 25.348]","(17.214, 19.168]","(6.149, 8.248]","(102.667, 110.531]","(335.097, 360.728]"
"(7.404, 9.398]","(13.307, 15.261]","(14.545, 16.644]","(55.478, 63.343]","(206.943, 232.574]"
"(25.348, 27.342]","(26.982, 28.935]","(25.04, 27.139]","(134.126, 141.99]","(488.881, 514.512]"
"(11.392, 13.386]","(9.4, 11.354]","(12.446, 14.545]","(55.478, 63.343]","(206.943, 232.574]"
"(29.336, 31.329]","(25.028, 26.982]","(16.644, 18.743]","(126.261, 134.126]","(437.62, 463.251]"
"(5.411, 7.404]","(21.121, 23.075]","(10.347, 12.446]","(63.343, 71.208]","(206.943, 232.574]"
"(13.386, 15.379]","(19.168, 21.121]","(10.347, 12.446]","(79.073, 86.937]","(258.205, 283.835]"
"(21.361, 23.354]","(26.982, 28.935]","(27.139, 29.238]","(126.261, 134.126]","(463.251, 488.881]"
"(21.361, 23.354]","(21.121, 23.075]","(29.238, 31.337]","(110.531, 118.396]","(437.62, 463.251]"
"(21.361, 23.354]","(15.261, 17.214]","(20.842, 22.941]","(94.802, 102.667]","(360.728, 386.358]"
"(15.379, 17.373]","(17.214, 19.168]","(14.545, 16.644]","(86.937, 94.802]","(309.466, 335.097]"
"(19.367, 21.361]","(15.261, 17.214]","(20.842, 22.941]","(86.937, 94.802]","(335.097, 360.728]"
"(11.392, 13.386]","(19.168, 21.121]","(12.446, 14.545]","(86.937, 94.802]","(309.466, 335.097]"
"(19.367, 21.361]","(19.168, 21.121]","(12.446, 14.545]","(102.667, 110.531]","(360.728, 386.358]"
"(19.367, 21.361]","(15.261, 17.214]","(4.05, 6.149]","(79.073, 86.937]","(258.205, 283.835]"
"(25.348, 27.342]","(13.307, 15.261]","(14.545, 16.644]","(102.667, 110.531]","(335.097, 360.728]"
"(17.373, 19.367]","(28.935, 30.888]","(22.941, 25.04]","(118.396, 126.261]","(411.989, 437.62]"
"(25.348, 27.342]","(28.935, 30.888]","(6.149, 8.248]","(134.126, 141.99]","(411.989, 437.62]"
"(21.361, 23.354]","(21.121, 23.075]","(10.347, 12.446]","(110.531, 118.396]","(360.728, 386.358]"
"(5.411, 7.404]","(26.982, 28.935]","(18.743, 20.842]","(102.667, 110.531]","(360.728, 386.358]"
"(19.367, 21.361]","(25.028, 26.982]","(10.347, 12.446]","(118.396, 126.261]","(386.358, 411.989]"
"(17.373, 19.367]","(26.982, 28.935]","(14.545, 16.644]","(118.396, 126.261]","(386.358, 411.989]"
"(11.392, 13.386]","(30.888, 32.842]","(14.545, 16.644]","(118.396, 126.261]","(386.358, 411.989]"
"(25.348, 27.342]","(21.121, 23.075]","(14.545, 16.644]","(118.396, 126.261]","(386.358, 411.989]"
"(19.367, 21.361]","(23.075, 25.028]","(10.347, 12.446]","(110.531, 118.396]","(360.728, 386.358]"
"(29.336, 31.329]","(13.307, 15.261]","(8.248, 10.347]","(110.531, 118.396]","(360.728, 386.358]"
"(17.373, 19.367]","(13.307, 15.261]","(14.545, 16.644]","(79.073, 86.937]","(309.466, 335.097]"
"(15.379, 17.373]","(23.075, 25.028]","(6.149, 8.248]","(102.667, 110.531]","(335.097, 360.728]"
"(11.392, 13.386]","(21.121, 23.075]","(12.446, 14.545]","(79.073, 86.937]","(283.835, 309.466]"
"(21.361, 23.354]","(21.121, 23.075]","(18.743, 20.842]","(102.667, 110.531]","(360.728, 386.358]"
"(19.367, 21.361]","(19.168, 21.121]","(-0.148, 1.951]","(94.802, 102.667]","(283.835, 309.466]"
"(15.379, 17.373]","(23.075, 25.028]","(18.743, 20.842]","(102.667, 110.531]","(360.728, 386.358]"
"(3.417, 5.411]","(15.261, 17.214]","(10.347, 12.446]","(63.343, 71.208]","(206.943, 232.574]"
"(23.354, 25.348]","(19.168, 21.121]","(12.446, 14.545]","(102.667, 110.531]","(360.728, 386.358]"
"(17.373, 19.367]","(21.121, 23.075]","(14.545, 16.644]","(94.802, 102.667]","(309.466, 335.097]"
"(19.367, 21.361]","(21.121, 23.075]","(25.04, 27.139]","(94.802, 102.667]","(386.358, 411.989]"
"(25.348, 27.342]","(19.168, 21.121]","(10.347, 12.446]","(118.396, 126.261]","(386.358, 411.989]"
"(29.336, 31.329]","(17.214, 19.168]","(14.545, 16.644]","(110.531, 118.396]","(386.358, 411.989]"
"(19.367, 21.361]","(23.075, 25.028]","(16.644, 18.743]","(110.531, 118.396]","(386.358, 411.989]"
"(21.361, 23.354]","(17.214, 19.168]","(12.446, 14.545]","(79.073, 86.937]","(283.835, 309.466]"
"(19.367, 21.361]","(21.121, 23.075]","(25.04, 27.139]","(102.667, 110.531]","(386.358, 411.989]"
"(19.367, 21.361]","(19.168, 21.121]","(8.248, 10.347]","(110.531, 118.396]","(360.728, 386.358]"
"(29.336, 31.329]","(17.214, 19.168]","(8.248, 10.347]","(118.396, 126.261]","(386.358, 411.989]"
"(23.354, 25.348]","(13.307, 15.261]","(18.743, 20.842]","(94.802, 102.667]","(309.466, 335.097]"
"(15.379, 17.373]","(23.075, 25.028]","(14.545, 16.644]","(102.667, 110.531]","(360.728, 386.358]"
"(23.354, 25.348]","(13.307, 15.261]","(1.951, 4.05]","(86.937, 94.802]","(258.205, 283.835]"
"(11.392, 13.386]","(21.121, 23.075]","(14.545, 16.644]","(86.937, 94.802]","(309.466, 335.097]"
"(19.367, 21.361]","(25.028, 26.982]","(12.446, 14.545]","(118.396, 126.261]","(411.989, 437.62]"
"(25.348, 27.342]","(17.214, 19.168]","(18.743, 20.842]","(94.802, 102.667]","(335.097, 360.728]"
"(27.342, 29.336]","(21.121, 23.075]","(14.545, 16.644]","(126.261, 134.126]","(411.989, 437.62]"
"(11.392, 13.386]","(23.075, 25.028]","(4.05, 6.149]","(94.802, 102.667]","(309.466, 335.097]"
"(19.367, 21.361]","(30.888, 32.842]","(6.149, 8.248]","(141.99, 149.855]","(437.62, 463.251]"
"(13.386, 15.379]","(26.982, 28.935]","(12.446, 14.545]","(102.667, 110.531]","(335.097, 360.728]"
"(5.411, 7.404]","(19.168, 21.121]","(8.248, 10.347]","(71.208, 79.073]","(232.574, 258.205]"
"(17.373, 19.367]","(15.261, 17.214]","(12.446, 14.545]","(79.073, 86.937]","(258.205, 283.835]"
"(17.373, 19.367]","(13.307, 15.261]","(16.644, 18.743]","(71.208, 79.073]","(258.205, 283.835]"
"(9.398, 11.392]","(13.307, 15.261]","(12.446, 14.545]","(55.478, 63.343]","(206.943, 232.574]"
"(31.329, 33.323]","(17.214, 19.168]","(4.05, 6.149]","(102.667, 110.531]","(335.097, 360.728]"
"(15.379, 17.373]","(28.935, 30.888]","(12.446, 14.545]","(118.396, 126.261]","(386.358, 411.989]"
"(17.373, 19.367]","(17.214, 19.168]","(14.545, 16.644]","(94.802, 102.667]","(309.466, 335.097]"
"(19.367, 21.361]","(19.168, 21.121]","(12.446, 14.545]","(94.802, 102.667]","(309.466, 335.097]"
"(15.379, 17.373]","(11.354, 13.307]","(8.248, 10.347]","(71.208, 79.073]","(232.574, 258.205]"
"(25.348, 27.342]","(23.075, 25.028]","(8.248, 10.347]","(126.261, 134.126]","(411.989, 437.62]"
"(17.373, 19.367]","(23.075, 25.028]","(-4.388, -2.247]","(110.531, 118.396]","(335.097, 360.728]"
"(19.367, 21.361]","(17.214, 19.168]","(12.446, 14.545]","(94.802, 102.667]","(335.097, 360.728]"
"(11.392, 13.386]","(21.121, 23.075]","(27.139, 29.238]","(86.937, 94.802]","(335.097, 360.728]"
"(23.354, 25.348]","(15.261, 17.214]","(22.941, 25.04]","(94.802, 102.667]","(360.728, 386.358]"
"(35.317, 37.311]","(13.307, 15.261]","(16.644, 18.743]","(118.396, 126.261]","(411.989, 437.62]"
"(35.317, 37.311]","(26.982, 28.935]","(12.446, 14.545]","(149.855, 157.72]","(488.881, 514.512]"
"(13.386, 15.379]","(25.028, 26.982]","(4.05, 6.149]","(110.531, 118.396]","(360.728, 386.358]"
"(21.361, 23.354]","(19.168, 21.121]","(10.347, 12.446]","(110.531, 118.396]","(360.728, 386.358]"
"(15.379, 17.373]","(7.447, 9.4]","(8.248, 10.347]","(63.343, 71.208]","(206.943, 232.574]"
"(15.379, 17.373]","(26.982, 28.935]","(12.446, 14.545]","(118.396, 126.261]","(386.358, 411.989]"
"(9.398, 11.392]","(9.4, 11.354]","(1.951, 4.05]","(47.614, 55.478]","(155.682, 181.312]"
"(15.379, 17.373]","(21.121, 23.075]","(10.347, 12.446]","(102.667, 110.531]","(335.097, 360.728]"
"(11.392, 13.386]","(25.028, 26.982]","(22.941, 25.04]","(94.802, 102.667]","(360.728, 386.358]"
"(15.379, 17.373]","(21.121, 23.075]","(12.446, 14.545]","(94.802, 102.667]","(335.097, 360.728]"
"(17.373, 19.367]","(30.888, 32.842]","(18.743, 20.842]","(126.261, 134.126]","(437.62, 463.251]"
"(19.367, 21.361]","(5.494, 7.447]","(12.446, 14.545]","(63.343, 71.208]","(232.574, 258.205]"
"(19.367, 21.361]","(17.214, 19.168]","(10.347, 12.446]","(79.073, 86.937]","(258.205, 283.835]"
"(5.411, 7.404]","(26.982, 28.935]","(8.248, 10.347]","(94.802, 102.667]","(309.466, 335.097]"
"(23.354, 25.348]","(13.307, 15.261]","(4.05, 6.149]","(94.802, 102.667]","(309.466, 335.097]"
"(13.386, 15.379]","(28.935, 30.888]","(14.545, 16.644]","(110.531, 118.396]","(386.358, 411.989]"
"(23.354, 25.348]","(21.121, 23.075]","(16.644, 18.743]","(118.396, 126.261]","(411.989, 437.62]"
"(19.367, 21.361]","(17.214, 19.168]","(12.446, 14.545]","(86.937, 94.802]","(309.466, 335.097]"
"(19.367, 21.361]","(23.075, 25.028]","(10.347, 12.446]","(110.531, 118.396]","(360.728, 386.358]"
"(5.411, 7.404]","(19.168, 21.121]","(10.347, 12.446]","(71.208, 79.073]","(258.205, 283.835]"
"(21.361, 23.354]","(26.982, 28.935]","(8.248, 10.347]","(134.126, 141.99]","(411.989, 437.62]"
"(9.398, 11.392]","(11.354, 13.307]","(18.743, 20.842]","(39.749, 47.614]","(181.312, 206.943]"
"(27.342, 29.336]","(23.075, 25.028]","(14.545, 16.644]","(126.261, 134.126]","(411.989, 437.62]"
"(25.348, 27.342]","(19.168, 21.121]","(16.644, 18.743]","(118.396, 126.261]","(411.989, 437.62]"
"(19.367, 21.361]","(5.494, 7.447]","(20.842, 22.941]","(55.478, 63.343]","(232.574, 258.205]"
"(21.361, 23.354]","(11.354, 13.307]","(14.545, 16.644]","(79.073, 86.937]","(283.835, 309.466]"
"(13.386, 15.379]","(13.307, 15.261]","(18.743, 20.842]","(71.208, 79.073]","(258.205, 283.835]"
"(19.367, 21.361]","(23.075, 25.028]","(29.238, 31.337]","(110.531, 118.396]","(411.989, 437.62]"
"(23.354, 25.348]","(15.261, 17.214]","(10.347, 12.446]","(94.802, 102.667]","(309.466, 335.097]"
"(13.386, 15.379]","(26.982, 28.935]","(16.644, 18.743]","(94.802, 102.667]","(335.097, 360.728]"
"(15.379, 17.373]","(9.4, 11.354]","(16.644, 18.743]","(55.478, 63.343]","(206.943, 232.574]"
"(23.354, 25.348]","(23.075, 25.028]","(20.842, 22.941]","(126.261, 134.126]","(437.62, 463.251]"
"(7.404, 9.398]","(19.168, 21.121]","(10.347, 12.446]","(71.208, 79.073]","(258.205, 283.835]"
"(27.342, 29.336]","(13.307, 15.261]","(10.347, 12.446]","(94.802, 102.667]","(309.466, 335.097]"
"(15.379, 17.373]","(26.982, 28.935]","(25.04, 27.139]","(110.531, 118.396]","(411.989, 437.62]"
"(19.367, 21.361]","(15.261, 17.214]","(4.05, 6.149]","(86.937, 94.802]","(283.835, 309.466]"
"(17.373, 19.367]","(23.075, 25.028]","(20.842, 22.941]","(94.802, 102.667]","(335.097, 360.728]"
"(19.367, 21.361]","(3.54, 5.494]","(14.545, 16.644]","(63.343, 71.208]","(232.574, 258.205]"
"(15.379, 17.373]","(23.075, 25.028]","(12.446, 14.545]","(102.667, 110.531]","(335.097, 360.728]"
"(21.361, 23.354]","(17.214, 19.168]","(4.05, 6.149]","(102.667, 110.531]","(335.097, 360.728]"
"(11.392, 13.386]","(13.307, 15.261]","(10.347, 12.446]","(55.478, 63.343]","(206.943, 232.574]"
"(13.386, 15.379]","(21.121, 23.075]","(16.644, 18.743]","(86.937, 94.802]","(309.466, 335.097]"
"(25.348, 27.342]","(25.028, 26.982]","(12.446, 14.545]","(118.396, 126.261]","(386.358, 411.989]"
"(7.404, 9.398]","(15.261, 17.214]","(12.446, 14.545]","(63.343, 71.208]","(232.574, 258.205]"
"(21.361, 23.354]","(23.075, 25.028]","(18.743, 20.842]","(126.261, 134.126]","(437.62, 463.251]"
"(11.392, 13.386]","(17.214, 19.168]","(22.941, 25.04]","(79.073, 86.937]","(309.466, 335.097]"
"(21.361, 23.354]","(26.982, 28.935]","(12.446, 14.545]","(134.126, 141.99]","(437.62, 463.251]"
"(15.379, 17.373]","(26.982, 28.935]","(29.238, 31.337]","(110.531, 118.396]","(437.62, 463.251]"
"(23.354, 25.348]","(17.214, 19.168]","(18.743, 20.842]","(110.531, 118.396]","(386.358, 411.989]"
"(31.329, 33.323]","(25.028, 26.982]","(4.05, 6.149]","(149.855, 157.72]","(463.251, 488.881]"
"(13.386, 15.379]","(21.121, 23.075]","(12.446, 14.545]","(102.667, 110.531]","(335.097, 360.728]"
"(19.367, 21.361]","(9.4, 11.354]","(8.248, 10.347]","(63.343, 71.208]","(232.574, 258.205]"
"(19.367, 21.361]","(19.168, 21.121]","(18.743, 20.842]","(86.937, 94.802]","(309.466, 335.097]"
"(5.411, 7.404]","(25.028, 26.982]","(22.941, 25.04]","(86.937, 94.802]","(309.466, 335.097]"
"(15.379, 17.373]","(25.028, 26.982]","(20.842, 22.941]","(118.396, 126.261]","(411.989, 437.62]"
"(27.342, 29.336]","(25.028, 26.982]","(10.347, 12.446]","(134.126, 141.99]","(437.62, 463.251]"
"(15.379, 17.373]","(25.028, 26.982]","(20.842, 22.941]","(110.531, 118.396]","(411.989, 437.62]"
"(19.367, 21.361]","(25.028, 26.982]","(16.644, 18.743]","(110.531, 118.396]","(386.358, 411.989]"
"(19.367, 21.361]","(19.168, 21.121]","(10.347, 12.446]","(94.802, 102.667]","(309.466, 335.097]"
"(13.386, 15.379]","(7.447, 9.4]","(16.644, 18.743]","(47.614, 55.478]","(206.943, 232.574]"
"(11.392, 13.386]","(21.121, 23.075]","(16.644, 18.743]","(94.802, 102.667]","(360.728, 386.358]"
"(17.373, 19.367]","(17.214, 19.168]","(12.446, 14.545]","(86.937, 94.802]","(283.835, 309.466]"
"(25.348, 27.342]","(23.075, 25.028]","(10.347, 12.446]","(126.261, 134.126]","(411.989, 437.62]"
"(19.367, 21.361]","(19.168, 21.121]","(8.248, 10.347]","(94.802, 102.667]","(309.466, 335.097]"
"(19.367, 21.361]","(19.168, 21.121]","(18.743, 20.842]","(86.937, 94.802]","(309.466, 335.097]"
"(19.367, 21.361]","(19.168, 21.121]","(14.545, 16.644]","(86.937, 94.802]","(309.466, 335.097]"
"(15.379, 17.373]","(19.168, 21.121]","(16.644, 18.743]","(86.937, 94.802]","(309.466, 335.097]"
"(25.348, 27.342]","(15.261, 17.214]","(16.644, 18.743]","(102.667, 110.531]","(360.728, 386.358]"
"(17.373, 19.367]","(21.121, 23.075]","(16.644, 18.743]","(94.802, 102.667]","(335.097, 360.728]"
"(19.367, 21.361]","(17.214, 19.168]","(8.248, 10.347]","(86.937, 94.802]","(309.466, 335.097]"
"(25.348, 27.342]","(19.168, 21.121]","(16.644, 18.743]","(102.667, 110.531]","(360.728, 386.358]"
"(17.373, 19.367]","(19.168, 21.121]","(18.743, 20.842]","(79.073, 86.937]","(283.835, 309.466]"
"(23.354, 25.348]","(21.121, 23.075]","(14.545, 16.644]","(102.667, 110.531]","(360.728, 386.358]"
"(17.373, 19.367]","(11.354, 13.307]","(8.248, 10.347]","(63.343, 71.208]","(232.574, 258.205]"
"(13.386, 15.379]","(26.982, 28.935]","(16.644, 18.743]","(86.937, 94.802]","(309.466, 335.097]"
"(13.386, 15.379]","(19.168, 21.121]","(16.644, 18.743]","(71.208, 79.073]","(283.835, 309.466]"
"(25.348, 27.342]","(17.214, 19.168]","(10.347, 12.446]","(110.531, 118.396]","(360.728, 386.358]"
"(19.367, 21.361]","(25.028, 26.982]","(12.446, 14.545]","(126.261, 134.126]","(411.989, 437.62]"
"(17.373, 19.367]","(26.982, 28.935]","(25.04, 27.139]","(118.396, 126.261]","(437.62, 463.251]"
"(15.379, 17.373]","(21.121, 23.075]","(25.04, 27.139]","(94.802, 102.667]","(360.728, 386.358]"
"(15.379, 17.373]","(11.354, 13.307]","(6.149, 8.248]","(79.073, 86.937]","(258.205, 283.835]"
"(7.404, 9.398]","(19.168, 21.121]","(18.743, 20.842]","(71.208, 79.073]","(258.205, 283.835]"
"(23.354, 25.348]","(13.307, 15.261]","(4.05, 6.149]","(86.937, 94.802]","(283.835, 309.466]"
"(15.379, 17.373]","(26.982, 28.935]","(12.446, 14.545]","(110.531, 118.396]","(360.728, 386.358]"
"(11.392, 13.386]","(15.261, 17.214]","(27.139, 29.238]","(71.208, 79.073]","(283.835, 309.466]"
"(13.386, 15.379]","(3.54, 5.494]","(25.04, 27.139]","(39.749, 47.614]","(206.943, 232.574]"
"(25.348, 27.342]","(17.214, 19.168]","(16.644, 18.743]","(102.667, 110.531]","(360.728, 386.358]"
